"code";"parentCode";"level";"name";"shortName";"notes";"validFrom";"validTo"
"0";"";"1";"Militære yrker og uoppgitt";"";""
"1";"";"1";"Ledere";"";""
"2";"";"1";"Akademiske yrker";"";""
"3";"";"1";"Høyskoleyrker";"";""
"4";"";"1";"Kontoryrker";"";""
"5";"";"1";"Salgs- og serviceyrker";"";""
"6";"";"1";"Bønder, fiskere mv.";"";""
"7";"";"1";"Håndverkere";"";""
"8";"";"1";"Prosess- og maskinoperatører, transportarbeidere mv.";"";""
"9";"";"1";"Renholdere, hjelpearbeidere mv.";"";""
"00";"0";"2";"Uoppgitt / yrker som ikke kan identifiseres";"";""
"01";"0";"2";"Offiserer fra fenrik og høyere grad";"";""
"02";"0";"2";"Befal med sersjant grad";"";""
"03";"0";"2";"Menige";"";""
"11";"1";"2";"Politikere og toppledere";"";""
"12";"1";"2";"Administrative og merkantile ledere";"";""
"13";"1";"2";"Ledere av enheter for vareproduksjon og tjenesteyting";"";""
"14";"1";"2";"Ledere i hotell, restaurant, varehandel mv.";"";""
"21";"2";"2";"Realister, sivilingeniører mv.";"";""
"22";"2";"2";"Medisinske yrker";"";""
"23";"2";"2";"Undervisningsyrker";"";""
"24";"2";"2";"Rådgivere innen økonomi, administrasjon og salg";"";""
"25";"2";"2";"IKT-rådgivere";"";""
"26";"2";"2";"Juridiske, samfunnsvitenskapelige og humanistiske yrker";"";""
"31";"3";"2";"Ingeniører mv.";"";""
"32";"3";"2";"Helserelaterte yrker";"";""
"33";"3";"2";"Medarbeidere innen økonomi, administrasjon og salg";"";""
"34";"3";"2";"Yrker innen kultur, idrett mv.";"";""
"35";"3";"2";"IKT-teknikere";"";""
"41";"4";"2";"Kontormedarbeidere";"";""
"42";"4";"2";"Kundeserviceyrker";"";""
"43";"4";"2";"Økonomi- og logistikkmedarbeidere";"";""
"44";"4";"2";"Postbud, arkiv- og personalkontormedarbeidere";"";""
"51";"5";"2";"Yrker innen personlig tjenesteyting";"";""
"52";"5";"2";"Salgsyrker";"";""
"53";"5";"2";"Pleie- og omsorgsarbeidere";"";""
"54";"5";"2";"Sikkerhetsarbeidere";"";""
"61";"6";"2";"Jordbrukere";"";""
"62";"6";"2";"Skogbrukere, fiskere mv.";"";""
"71";"7";"2";"Byggearbeidere";"";""
"72";"7";"2";"Metall- og maskinarbeidere";"";""
"73";"7";"2";"Presisjonsarbeidere, kunsthåndverkere, grafiske arbeidere mv.";"";""
"74";"7";"2";"Elektrikere, elektronikere mv.";"";""
"75";"7";"2";"Andre håndverkspregede yrker";"";""
"81";"8";"2";"Prosess- og maskinoperatører";"";""
"82";"8";"2";"Montører";"";""
"83";"8";"2";"Transportarbeidere og operatører av mobile maskiner mv.";"";""
"91";"9";"2";"Renholdere mv.";"";""
"92";"9";"2";"Hjelpearbeidere i jordbruk, skogbruk og fiske";"";""
"93";"9";"2";"Hjelpearbeidere i bergverk, industri, bygg og anlegg og transport";"";""
"94";"9";"2";"Kjøkkenassistenter";"";""
"95";"9";"2";"Reklamedistributører mv.";"";""
"96";"9";"2";"Renovasjons- og gjenvinningsarbeidere mv.";"";""
"000";"00";"3";"Uoppgitt / yrker som ikke kan identifiseres";"";""
"011";"01";"3";"Offiserer fra fenrik og høyere grad";"";""
"021";"02";"3";"Befal med sersjant grad";"";""
"031";"03";"3";"Menige";"";""
"111";"11";"3";"Politikere og toppledere i offentlig administrasjon";"";""
"112";"11";"3";"Administrerende direktører";"";""
"121";"12";"3";"Ledere av administrative enheter";"";""
"122";"12";"3";"Ledere av salgs-, PR- og forskningsenheter";"";""
"131";"13";"3";"Ledere i gartnerier, akvakultur mv.";"";""
"132";"13";"3";"Ledere av produksjon, utvinning, bygg og anlegg, transport";"";""
"133";"13";"3";"Ledere av IKT-enheter";"";""
"134";"13";"3";"Ledere av utdanning, helse- og sosialtjenester";"";""
"141";"14";"3";"Ledere i hotell og restaurant";"";""
"142";"14";"3";"Varehandelssjefer";"";""
"143";"14";"3";"Daglige ledere, andre tjenesteytende virksomheter";"";""
"211";"21";"3";"Fysikere, kjemikere mv.";"";""
"212";"21";"3";"Matematikere, statistikere mv.";"";""
"213";"21";"3";"Biologiske yrker mv.";"";""
"214";"21";"3";"Sivilingeniører (unntatt elektroteknologi)";"";""
"215";"21";"3";"Sivilingeniører elektroteknologi";"";""
"216";"21";"3";"Arkitekter, designere mv.";"";""
"221";"22";"3";"Leger";"";""
"222";"22";"3";"Sykepleiere og spesialsykepleiere";"";""
"225";"22";"3";"Veterinærer";"";""
"226";"22";"3";"Andre medisinske yrker";"";""
"231";"23";"3";"Universitets- og høyskolelektorer/-lærere";"";""
"232";"23";"3";"Yrkesfaglærere";"";""
"233";"23";"3";"Lektorer mv (videregående skole)";"";""
"234";"23";"3";"Grunnskole- og førskolelærere";"";""
"235";"23";"3";"Andre lærere";"";""
"241";"24";"3";"Finansrådgivere";"";""
"242";"24";"3";"Administrasjonsrådgivere";"";""
"243";"24";"3";"Rådgivere innen salg, markedsføring mv.";"";""
"251";"25";"3";"Programvare- og applikasjonsutviklere/analytikere";"";""
"252";"25";"3";"Databasedesignere, systemadministratorer mv.";"";""
"261";"26";"3";"Juridiske yrker";"";""
"262";"26";"3";"Bibliotekarer, arkivarer mv.";"";""
"263";"26";"3";"Samfunnsvitenskapelige, humanistiske og religiøse yrker";"";""
"264";"26";"3";"Forfattere, journalister mv.";"";""
"265";"26";"3";"Profesjonelle kunstnere";"";""
"311";"31";"3";"Ingeniører";"";""
"312";"31";"3";"Arbeidsledere innen bergfag, industri, bygg og anlegg";"";""
"313";"31";"3";"Prosesskontrollører";"";""
"314";"31";"3";"Bioteknikere mv.";"";""
"315";"31";"3";"Skipoffiserer, flygere, flygeledere mv.";"";""
"321";"32";"3";"Radiografer, proteseteknikere, reseptarer mv.";"";""
"323";"32";"3";"Yrker innen alternativ medisin";"";""
